Week,Date,DayOfWeek,WinningTeam,WinningScore,VS/@/N,LosingTeam,LosingScore,BowlGame,BoxUrl
3,Sep 6 2025,Sat,Baylor,48,@,(17) Southern Methodist,45,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-southern-methodist.html
3,Sep 6 2025,Sat,(14) Florida State,77,,East Texas A&M,3,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-florida-state.html
3,Sep 6 2025,Sat,(11) Illinois,45,@,Duke,19,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-duke.html
3,Sep 6 2025,Sat,(23) Indiana,56,,Kennesaw State,9,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-indiana.html
3,Sep 6 2025,Sat,(16) Iowa State,16,,Iowa,13,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-iowa-state.html
3,Sep 6 2025,Sat,Jacksonville State,34,,Liberty,24,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-jacksonville-state.html
3,Sep 6 2025,Sat,Minnesota,66,,Northwestern State,0,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-minnesota.html
3,Sep 6 2025,Sat,North Carolina State,35,,Virginia,31,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-north-carolina-state.html
3,Sep 6 2025,Sat,(2) Penn State,34,,Florida International,0,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-penn-state.html
3,Sep 6 2025,Sat,Pittsburgh,45,,Central Michigan,17,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-pittsburgh.html
3,Sep 6 2025,Sat,Syracuse,27,,Connecticut,20,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-syracuse.html
3,Sep 6 2025,Sat,(7) Texas,38,,San Jose State,7,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-texas.html
3,Sep 6 2025,Sat,(24) Texas Tech,62,,Kent State,14,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-texas-tech.html
3,Sep 6 2025,Sat,(19) Texas A&M,44,,Utah State,22,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-texas-am.html
3,Sep 6 2025,Sat,Temple,55,,Howard,7,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-temple.html
3,Sep 6 2025,Sat,Wake Forest,42,,Western Carolina,10,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-wake-forest.html
3,Sep 6 2025,Sat,New Mexico,32,,Idaho State,22,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-new-mexico.html
3,Sep 6 2025,Sat,Appalachian State,20,,Lindenwood,13,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-appalachian-state.html
3,Sep 6 2025,Sat,Bryant,27,@,Massachusetts,26,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-massachusetts.html
3,Sep 6 2025,Sat,Buffalo,45,,St. Francis (PA),6,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-buffalo.html
3,Sep 6 2025,Sat,Cincinnati,34,,Bowling Green,20,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-cincinnati.html
3,Sep 6 2025,Sat,(8) Clemson,27,,Troy,16,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-clemson.html
3,Sep 6 2025,Sat,Colorado,31,,Delaware,7,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-colorado.html
3,Sep 6 2025,Sat,Fresno State,36,@,Oregon State,27,,https://www.sports-reference.com/cfb/boxscores/2025-09-06-oregon-state.html
